shipment_key,tracking_number,missing_tracking_number,ambiguous_tracking,distinct_carrier_count,distinct_order_count,carrier,origin_city,origin_country,origin_known,current_status,current_status_source_value,current_status_source,current_status_event_ts_utc,is_terminal,has_status_conflict,has_post_terminal_event,has_clock_anomaly,first_event_ts_utc,last_event_ts_utc,event_count,warehouse_event_count,carrier_event_count,source_system_count,dwh_loaded_at_utc
Aramex:TRACK-0165,TRACK-0165,false,false,1,1,Aramex,Dubai,AE,true,shipped,shipped,warehouse,2026-03-18T19:19:00.000Z,false,false,false,true,2026-03-18T19:19:00.000Z,2026-03-18T19:19:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Aramex:TRACK-0173,TRACK-0173,false,false,1,1,Aramex,Dubai,AE,true,in_transit,in_transit,warehouse,2026-03-14T14:45:00.000Z,false,false,false,false,2026-03-14T14:45:00.000Z,2026-03-14T14:45:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Aramex:TRACK-0182,TRACK-0182,false,false,1,1,Aramex,Dubai,AE,true,shipped,shipped,warehouse,2026-03-15T19:29:00.000Z,false,false,false,false,2026-03-15T19:29:00.000Z,2026-03-15T19:29:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Aramex:TRACK-0185,TRACK-0185,false,false,1,1,Aramex,Dubai,AE,true,processing,processing,warehouse,2026-03-04T13:05:00.000Z,false,false,false,false,2026-03-04T13:05:00.000Z,2026-03-04T13:05:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Aramex:TRACK-0213,TRACK-0213,false,false,1,1,Aramex,Dubai,AE,true,processing,processing,warehouse,2026-03-13T15:17:00.000Z,false,false,false,false,2026-03-13T15:17:00.000Z,2026-03-13T15:17:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Aramex:TRACK-0222,TRACK-0222,false,false,1,1,Aramex,Dubai,AE,true,in_transit,in_transit,warehouse,2026-03-03T23:22:00.000Z,false,false,false,false,2026-03-03T23:22:00.000Z,2026-03-03T23:22:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Aramex:TRACK-0253,TRACK-0253,false,false,1,1,Aramex,Dubai,AE,true,processing,processing,warehouse,2026-03-05T15:47:00.000Z,false,false,false,false,2026-03-05T15:47:00.000Z,2026-03-05T15:47:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Aramex:TRACK-0258,TRACK-0258,false,false,1,1,Aramex,Dubai,AE,true,shipped,shipped,warehouse,2026-03-02T13:21:00.000Z,false,false,false,false,2026-03-02T13:21:00.000Z,2026-03-02T13:21:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRACK-0011,TRACK-0011,false,false,1,1,Australia Post,Sydney,AU,true,processing,processing,warehouse,2026-03-17T20:03:00.000Z,false,false,false,false,2026-03-17T20:03:00.000Z,2026-03-17T20:03:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRACK-0012,TRACK-0012,false,false,1,1,Australia Post,Sydney,AU,true,shipped,SHIPPED,warehouse,2026-03-07T16:28:00.000Z,false,false,false,false,2026-03-07T16:28:00.000Z,2026-03-07T16:28:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRACK-0013,TRACK-0013,false,false,1,1,Australia Post,Sydney,AU,true,in_transit,in_transit,warehouse,2026-03-19T08:12:00.000Z,false,false,false,false,2026-03-19T08:12:00.000Z,2026-03-19T08:12:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRACK-0027,TRACK-0027,false,false,1,1,Australia Post,Sydney,AU,true,shipped,shipped,warehouse,2026-03-03T06:20:00.000Z,false,false,false,false,2026-03-03T06:20:00.000Z,2026-03-03T06:20:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRACK-0036,TRACK-0036,false,false,1,1,Australia Post,Sydney,AU,true,shipped,shipped,warehouse,2026-03-06T06:50:00.000Z,false,false,false,true,2026-03-06T06:50:00.000Z,2026-03-06T06:50:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRACK-0046,TRACK-0046,false,false,1,1,Australia Post,Sydney,AU,true,packed,packed,warehouse,2026-03-11T18:20:00.000Z,false,false,false,false,2026-03-11T18:20:00.000Z,2026-03-11T18:20:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRACK-0048,TRACK-0048,false,false,1,1,Australia Post,Sydney,AU,true,shipped,shipped,warehouse,2026-03-09T08:42:00.000Z,false,false,false,false,2026-03-09T08:42:00.000Z,2026-03-09T08:42:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRACK-0049,TRACK-0049,false,false,1,1,Australia Post,Sydney,AU,true,processing,processing,warehouse,2026-03-07T15:34:00.000Z,false,false,false,true,2026-03-07T15:34:00.000Z,2026-03-07T15:34:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRACK-0072,TRACK-0072,false,false,1,1,Australia Post,Sydney,AU,true,processing,processing,warehouse,2026-03-08T18:10:00.000Z,false,false,false,false,2026-03-08T18:10:00.000Z,2026-03-08T18:10:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRACK-0084,TRACK-0084,false,false,1,1,Australia Post,Sydney,AU,true,in_transit,in_transit,warehouse,2026-03-02T04:56:00.000Z,false,false,false,true,2026-03-02T04:56:00.000Z,2026-03-02T04:56:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRACK-0106,TRACK-0106,false,false,1,1,Australia Post,Sydney,AU,true,packed,PACKED,warehouse,2026-03-19T21:49:00.000Z,false,false,false,false,2026-03-19T21:49:00.000Z,2026-03-19T21:49:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRACK-0148,TRACK-0148,false,false,1,1,Australia Post,Sydney,AU,true,processing,processing,warehouse,2026-03-12T01:42:00.000Z,false,false,false,false,2026-03-12T01:42:00.000Z,2026-03-12T01:42:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRACK-0161,TRACK-0161,false,false,1,1,Australia Post,Sydney,AU,true,packed,packed,warehouse,2026-03-09T10:37:00.000Z,false,false,false,false,2026-03-09T10:37:00.000Z,2026-03-09T10:37:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRACK-0162,TRACK-0162,false,false,1,1,Australia Post,Sydney,AU,true,in_transit,in_transit,warehouse,2026-03-13T07:33:00.000Z,false,false,false,false,2026-03-13T07:33:00.000Z,2026-03-13T07:33:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRACK-0172,TRACK-0172,false,false,1,1,Australia Post,Sydney,AU,true,in_transit,in_transit,warehouse,2026-03-17T13:32:00.000Z,false,false,false,false,2026-03-17T13:32:00.000Z,2026-03-17T13:32:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRACK-0187,TRACK-0187,false,false,1,1,Australia Post,Sydney,AU,true,processing,processing,warehouse,2026-03-17T11:20:00.000Z,false,false,false,false,2026-03-17T11:20:00.000Z,2026-03-17T11:20:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRACK-0210,TRACK-0210,false,false,1,1,Australia Post,Sydney,AU,true,in_transit,in_transit,warehouse,2026-03-14T01:03:00.000Z,false,false,false,false,2026-03-14T01:03:00.000Z,2026-03-14T01:03:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRACK-0212,TRACK-0212,false,false,1,1,Australia Post,Sydney,AU,true,delivered,delivered,warehouse,2026-03-09T14:39:00.000Z,true,false,false,false,2026-03-09T14:39:00.000Z,2026-03-09T14:39:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRACK-0254,TRACK-0254,false,false,1,1,Australia Post,Sydney,AU,true,shipped,shipped,warehouse,2026-03-19T09:02:00.000Z,false,false,false,true,2026-03-19T09:02:00.000Z,2026-03-19T09:02:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRK-121,TRK-121,false,false,1,1,Australia Post,Sydney,AU,true,processing,processing,warehouse,2026-03-19T21:10:00.000Z,false,false,false,false,2026-03-19T21:10:00.000Z,2026-03-19T21:10:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Australia Post:TRK-123,TRK-123,false,false,1,1,Australia Post,Sydney,AU,true,processing,processing,warehouse,2026-03-01T20:29:00.000Z,false,false,false,false,2026-03-01T20:29:00.000Z,2026-03-01T20:29:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:DHL-0014,DHL-0014,false,false,1,0,DHL,null,null,false,returned,RETURNED,carrier,2026-03-06T18:57:00.000Z,true,false,false,false,2026-03-04T17:34:00.000Z,2026-03-06T18:57:00.000Z,4,0,4,1,2026-06-02T18:42:05.560Z
DHL:DHL-0031,DHL-0031,false,false,1,0,DHL,null,null,false,delivered,DELIVERED,carrier,2026-03-14T06:52:00.000Z,true,false,false,false,2026-03-13T05:03:00.000Z,2026-03-14T06:52:00.000Z,4,0,4,1,2026-06-02T18:42:05.560Z
DHL:DHL-0067,DHL-0067,false,false,1,0,DHL,null,null,false,delivered,DELIVERED,carrier,2026-03-11T01:17:00.000Z,true,false,false,false,2026-03-09T03:33:00.000Z,2026-03-11T01:17:00.000Z,4,0,4,1,2026-06-02T18:42:05.560Z
DHL:DHL-0071,DHL-0071,false,false,1,0,DHL,null,null,false,delivered,DELIVERED,carrier,2026-03-03T22:09:00.000Z,true,false,false,false,2026-03-02T08:19:00.000Z,2026-03-03T22:09:00.000Z,4,0,4,1,2026-06-02T18:42:05.560Z
DHL:EXP-0010,EXP-0010,false,false,1,0,DHL,null,null,false,delivered,DELIVERED,carrier,2026-03-12T23:31:00.000Z,true,false,false,false,2026-03-11T02:05:00.000Z,2026-03-12T23:31:00.000Z,5,0,5,1,2026-06-02T18:42:05.560Z
DHL:EXP-0028,EXP-0028,false,false,1,0,DHL,null,null,false,delivered,DELIVERED,carrier,2026-03-26T16:18:00.000Z,true,false,false,false,2026-03-24T05:24:00.000Z,2026-03-26T16:18:00.000Z,5,0,5,1,2026-06-02T18:42:05.560Z
DHL:EXP-0038,EXP-0038,false,false,1,0,DHL,null,null,false,delivered,DELIVERED,carrier,2026-03-27T13:22:00.000Z,true,false,false,false,2026-03-25T09:44:00.000Z,2026-03-27T13:22:00.000Z,5,0,5,1,2026-06-02T18:42:05.560Z
DHL:EXP-0051,EXP-0051,false,false,1,0,DHL,null,null,false,delivered,DELIVERED,carrier,2026-03-04T00:37:00.000Z,true,false,false,false,2026-03-02T22:07:00.000Z,2026-03-04T00:37:00.000Z,4,0,4,1,2026-06-02T18:42:05.560Z
DHL:EXP-0052,EXP-0052,false,false,1,0,DHL,null,null,false,delivered,DELIVERED,carrier,2026-03-15T20:49:00.000Z,true,false,false,false,2026-03-13T19:38:00.000Z,2026-03-15T20:49:00.000Z,5,0,5,1,2026-06-02T18:42:05.560Z
DHL:EXP-0074,EXP-0074,false,false,1,0,DHL,null,null,false,delivered,DELIVERED,carrier,2026-03-09T15:29:00.000Z,true,false,false,false,2026-03-07T23:55:00.000Z,2026-03-09T15:29:00.000Z,4,0,4,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0001,TRACK-0001,false,false,1,1,DHL,Amsterdam,NL,true,in_transit,IN_TRANSIT,carrier,2026-03-02T06:10:00.000Z,false,false,false,false,2026-03-01T06:15:00.000Z,2026-03-02T06:10:00.000Z,4,2,2,2,2026-06-02T18:42:05.560Z
DHL:TRACK-0002,TRACK-0002,false,false,1,1,DHL,Dubai,AE,true,shipped,shipped,warehouse,2026-03-19T11:15:00.000Z,false,false,false,false,2026-03-19T11:15:00.000Z,2026-03-19T11:15:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0004,TRACK-0004,false,false,1,1,DHL,London,GB,true,delivered,DELIVERED,carrier,2026-03-02T08:55:00.000Z,true,true,true,false,2026-03-02T08:55:00.000Z,2026-03-02T09:10:00.000Z,2,1,1,2,2026-06-02T18:42:05.560Z
DHL:TRACK-0006,TRACK-0006,false,false,1,1,DHL,Amsterdam,NL,true,cancelled,CANCELLED,carrier,2026-03-03T10:50:00.000Z,true,false,false,false,2026-03-03T09:45:00.000Z,2026-03-03T10:50:00.000Z,2,1,1,2,2026-06-02T18:42:05.560Z
DHL:TRACK-0007,TRACK-0007,false,false,1,1,DHL,Sydney,AU,true,delivered,delivered,warehouse,2026-03-08T00:40:00.000Z,true,false,false,false,2026-03-08T00:40:00.000Z,2026-03-08T00:40:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0008,TRACK-0008,false,true,1,2,null,null,null,false,in_transit,in_transit,warehouse,2026-03-13T11:54:00.000Z,false,false,false,false,2026-02-28T21:55:00.000Z,2026-03-13T11:54:00.000Z,3,2,1,2,2026-06-02T18:42:05.560Z
DHL:TRACK-0021,TRACK-0021,false,false,1,1,DHL,Dubai,AE,true,shipped,shipped,warehouse,2026-03-06T12:22:00.000Z,false,false,false,false,2026-03-06T12:22:00.000Z,2026-03-06T12:22:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0024,TRACK-0024,false,false,1,1,DHL,Amsterdam,NL,true,shipped,shipped,warehouse,2026-03-21T12:58:00.000Z,false,false,false,false,2026-03-21T12:58:00.000Z,2026-03-21T12:58:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0025,TRACK-0025,false,false,1,1,DHL,Sydney,AU,true,processing,processing,warehouse,2026-03-15T06:17:00.000Z,false,false,false,false,2026-03-15T06:17:00.000Z,2026-03-15T06:17:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0028,TRACK-0028,false,false,1,1,DHL,Amsterdam,NL,true,processing,processing,warehouse,2026-03-15T15:09:00.000Z,false,false,false,false,2026-03-15T15:09:00.000Z,2026-03-15T15:09:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0031,TRACK-0031,false,false,1,1,DHL,Amsterdam,NL,true,received,received,warehouse,2026-03-15T10:37:00.000Z,false,false,false,false,2026-03-15T10:37:00.000Z,2026-03-15T10:37:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0032,TRACK-0032,false,false,1,1,DHL,Sydney,AU,true,delivered,DELIVERED,carrier,2026-03-24T02:50:00.000Z,true,true,false,true,2026-03-10T02:14:00.000Z,2026-03-24T02:50:00.000Z,6,1,5,2,2026-06-02T18:42:05.560Z
DHL:TRACK-0033,TRACK-0033,false,true,1,2,null,null,null,false,processing,processing,warehouse,2026-03-21T06:28:00.000Z,false,false,false,false,2026-03-06T08:48:00.000Z,2026-03-21T06:28:00.000Z,2,2,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0040,TRACK-0040,false,false,1,0,DHL,null,null,false,cancelled,CANCELLED,carrier,2026-03-17T07:22:00.000Z,true,false,false,false,2026-03-16T09:36:00.000Z,2026-03-17T07:22:00.000Z,2,0,2,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0041,TRACK-0041,false,true,1,2,null,null,null,false,shipped,shipped,warehouse,2026-03-07T22:22:00.000Z,false,false,false,false,2026-03-02T18:50:00.000Z,2026-03-07T22:22:00.000Z,2,2,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0043,TRACK-0043,false,false,1,1,DHL,Sydney,AU,true,in_transit,in_transit,warehouse,2026-03-07T12:56:00.000Z,false,false,false,false,2026-03-07T12:56:00.000Z,2026-03-07T12:56:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0044,TRACK-0044,false,false,1,1,DHL,Sydney,AU,true,packed,packed,warehouse,2026-03-15T11:59:00.000Z,false,false,false,false,2026-03-15T11:59:00.000Z,2026-03-15T11:59:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0047,TRACK-0047,false,false,1,1,DHL,Dubai,AE,true,shipped,shipped,warehouse,2026-03-10T17:48:00.000Z,false,false,false,false,2026-03-10T17:48:00.000Z,2026-03-10T17:48:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0048,TRACK-0048,false,false,1,1,DHL,London,GB,true,delivered,delivered,warehouse,2026-03-11T12:52:00.000Z,true,false,false,false,2026-03-03T09:01:00.000Z,2026-03-11T12:52:00.000Z,7,1,6,2,2026-06-02T18:42:05.560Z
DHL:TRACK-0049,TRACK-0049,false,false,1,1,DHL,Sydney,AU,true,shipped,shipped,warehouse,2026-03-09T18:58:00.000Z,false,false,false,false,2026-03-09T18:58:00.000Z,2026-03-09T18:58:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0054,TRACK-0054,false,false,1,1,DHL,Amsterdam,NL,true,cancelled,cancelled,warehouse,2026-03-07T18:25:00.000Z,true,false,false,false,2026-03-07T18:25:00.000Z,2026-03-07T18:25:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0056,TRACK-0056,false,false,1,0,DHL,null,null,false,cancelled,CANCELLED,carrier,2026-03-10T03:50:00.000Z,true,false,false,false,2026-03-09T22:33:00.000Z,2026-03-10T03:50:00.000Z,2,0,2,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0061,TRACK-0061,false,false,1,0,DHL,null,null,false,delivered,DELIVERED,carrier,2026-03-17T17:47:00.000Z,true,false,false,false,2026-03-14T17:22:00.000Z,2026-03-17T17:47:00.000Z,5,0,5,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0063,TRACK-0063,false,false,1,1,DHL,Dubai,AE,true,exception,exception,warehouse,2026-03-21T05:00:00.000Z,false,false,false,false,2026-03-21T05:00:00.000Z,2026-03-21T05:00:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0064,TRACK-0064,false,false,1,0,DHL,null,null,false,delivered,DELIVERED,carrier,2026-03-28T16:10:00.000Z,true,false,false,false,2026-03-25T14:30:00.000Z,2026-03-28T16:10:00.000Z,6,0,6,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0066,TRACK-0066,false,false,1,1,DHL,Dubai,AE,true,exception,exception,warehouse,2026-03-08T21:12:00.000Z,false,false,false,true,2026-03-08T21:12:00.000Z,2026-03-08T21:12:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0070,TRACK-0070,false,false,1,1,DHL,London,GB,true,cancelled,CANCELLED,carrier,2026-03-18T05:53:00.000Z,true,true,false,false,2026-03-08T05:03:00.000Z,2026-03-18T05:53:00.000Z,3,1,2,2,2026-06-02T18:42:05.560Z
DHL:TRACK-0071,TRACK-0071,false,false,1,1,DHL,Amsterdam,NL,true,processing,processing,warehouse,2026-03-10T22:08:00.000Z,false,false,false,false,2026-03-10T22:08:00.000Z,2026-03-10T22:08:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0073,TRACK-0073,false,false,1,0,DHL,null,null,false,delivered,DELIVERED,carrier,2026-03-24T13:56:00.000Z,true,false,false,false,2026-03-22T04:12:00.000Z,2026-03-24T13:56:00.000Z,4,0,4,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0078,TRACK-0078,false,false,1,1,DHL,Dubai,AE,true,processing,processing,warehouse,2026-03-09T21:06:00.000Z,false,false,false,false,2026-03-09T21:06:00.000Z,2026-03-09T21:06:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0079,TRACK-0079,false,false,1,1,DHL,London,GB,true,in_transit,in_transit,warehouse,2026-03-12T11:42:00.000Z,false,false,false,false,2026-03-12T11:42:00.000Z,2026-03-12T11:42:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0082,TRACK-0082,false,false,1,1,DHL,Dubai,AE,true,processing,processing,warehouse,2026-03-04T17:28:00.000Z,false,false,false,false,2026-03-04T17:28:00.000Z,2026-03-04T17:28:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0085,TRACK-0085,false,false,1,1,DHL,Amsterdam,NL,true,processing,processing,warehouse,2026-03-15T15:48:00.000Z,false,false,false,false,2026-03-15T15:48:00.000Z,2026-03-15T15:48:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0086,TRACK-0086,false,false,1,1,DHL,London,GB,true,in_transit,in_transit,warehouse,2026-03-14T07:17:00.000Z,false,false,false,false,2026-03-14T07:17:00.000Z,2026-03-14T07:17:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0087,TRACK-0087,false,false,1,1,DHL,Dubai,AE,true,packed,packed,warehouse,2026-03-22T00:04:00.000Z,false,false,false,false,2026-03-22T00:04:00.000Z,2026-03-22T00:04:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0088,TRACK-0088,false,false,1,1,DHL,Amsterdam,NL,true,processing,processing,warehouse,2026-03-11T02:42:00.000Z,false,false,false,false,2026-03-11T02:42:00.000Z,2026-03-11T02:42:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0090,TRACK-0090,false,false,1,1,DHL,London,GB,true,delivered,delivered,warehouse,2026-03-05T14:06:00.000Z,true,false,false,false,2026-03-05T14:06:00.000Z,2026-03-05T14:06:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0100,TRACK-0100,false,false,1,1,DHL,London,GB,true,shipped,shipped,warehouse,2026-03-10T16:49:00.000Z,false,false,false,false,2026-03-10T16:49:00.000Z,2026-03-10T16:49:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0104,TRACK-0104,false,false,1,1,DHL,Sydney,AU,true,delivered,delivered,warehouse,2026-03-14T11:10:00.000Z,true,false,false,true,2026-03-14T11:10:00.000Z,2026-03-14T11:10:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0116,TRACK-0116,false,false,1,1,DHL,Amsterdam,NL,true,shipped,shipped,warehouse,2026-03-11T16:25:00.000Z,false,false,false,false,2026-03-11T16:25:00.000Z,2026-03-11T16:25:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0118,TRACK-0118,false,false,1,1,DHL,Dubai,AE,true,delivered,delivered,warehouse,2026-03-06T23:38:00.000Z,true,false,false,false,2026-03-06T23:38:00.000Z,2026-03-06T23:38:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0122,TRACK-0122,false,false,1,1,DHL,Sydney,AU,true,received,received,warehouse,2026-03-09T02:55:00.000Z,false,false,false,false,2026-03-09T02:55:00.000Z,2026-03-09T02:55:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0124,TRACK-0124,false,true,1,2,null,null,null,false,packed,packed,warehouse,2026-03-18T18:49:00.000Z,false,false,false,false,2026-03-15T06:10:00.000Z,2026-03-18T18:49:00.000Z,2,2,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0131,TRACK-0131,false,false,1,1,DHL,Dubai,AE,true,delivered,delivered,warehouse,2026-03-16T07:39:00.000Z,true,false,false,false,2026-03-16T07:39:00.000Z,2026-03-16T07:39:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0134,TRACK-0134,false,false,1,1,DHL,Amsterdam,NL,true,delivered,delivered,warehouse,2026-03-02T15:46:00.000Z,true,false,false,false,2026-03-02T15:46:00.000Z,2026-03-02T15:46:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0136,TRACK-0136,false,false,1,1,DHL,London,GB,true,packed,packed,warehouse,2026-03-05T07:02:00.000Z,false,false,false,false,2026-03-05T07:02:00.000Z,2026-03-05T07:02:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
DHL:TRACK-0141,TRACK-0141,false,true,1,2,null,null,null,false,processing,processing,warehouse,2026-03-17T19:32:00.000Z,false,false,false,false,2026-03-09T18:39:00.000Z,2026-03-17T19:32:00.000Z,2,2,0,1,2026-06-02T18:42:05.560Z
